"Freq [GHz]","re(S(1,1)) []","im(S(1,1)) []","re(S(2,1)) []","im(S(2,1)) []","re(partialS(1,1,L1)) []","im(partialS(1,1,L1)) []","re(partialS(2,1,L1)) []","im(partialS(2,1,L1)) []","re(partialS(1,1,L2)) []","im(partialS(1,1,L2)) []","re(partialS(2,1,L2)) []","im(partialS(2,1,L2)) []","re(partialS(1,1,L3)) []","im(partialS(1,1,L3)) []","re(partialS(2,1,L3)) []","im(partialS(2,1,L3)) []","re(partialS(1,1,M01)) []","im(partialS(1,1,M01)) []","re(partialS(2,1,M01)) []","im(partialS(2,1,M01)) []","re(partialS(1,1,M12)) []","im(partialS(1,1,M12)) []","re(partialS(2,1,M12)) []","im(partialS(2,1,M12)) []","re(partialS(1,1,M23)) []","im(partialS(1,1,M23)) []","re(partialS(2,1,M23)) []","im(partialS(2,1,M23)) []","re(partialS(1,1,M34)) []","im(partialS(1,1,M34)) []","re(partialS(2,1,M34)) []","im(partialS(2,1,M34)) []"
5.01,-0.381072193966166,0.924542413316606,-9.5695975257142E-007,-3.9224782432519E-007,0.617323869853635,0.255387073635375,-1.01982562181012E-005,2.73360526587931E-006,0.00618871847781966,0.00252107356923433,1.32759293136665E-006,1.57393356288081E-006,0.000543490222659201,0.00021623753756631,-2.74786807200397E-006,-1.01993834923554E-006,8.37947138192247,3.45747728322806,-2.3403792656516E-005,2.75040356103216E-006,0.281780249752108,0.116152263679355,-2.46171020444081E-005,-4.29913191424668E-006,0.00250101344704202,0.0010472452014563,-2.72287326050993E-005,-8.29599291312354E-006,1.68588042836966E-005,6.91527644150033E-006,-1.25818606187914E-005,-4.43715602220138E-006
5.011,-0.379888884724976,0.925028985385306,-9.65600048684067E-007,-3.94345539760901E-007,0.619439572231981,0.255424984423263,-1.08936008368561E-005,3.08638208521262E-006,0.00624442110469686,0.00253185739251489,1.58501706726043E-006,1.78395968317996E-006,0.000545853925536579,0.000215625472794237,-2.8876447530015E-006,-1.05947030799434E-006,8.39342336036088,3.45103487184383,-2.34569182061792E-005,3.07368477758993E-006,0.28283588660119,0.116165112046295,-2.55012597887391E-005,-4.07844077198977E-006,0.00252652197972092,0.00105565975830961,-2.83037451940975E-005,-8.41361630584775E-006,1.73398816588383E-005,7.08641887341413E-006,-1.29781799793869E-005,-4.51021422524637E-006
5.012,-0.378704029805568,0.925514423945189,-9.74323827195471E-007,-3.96451825716108E-007,0.621563116685407,0.255459721333026,-1.1588341979699E-005,3.440609424659E-006,0.00630034162348251,0.00254259155949983,1.84264809638866E-006,1.99358820312736E-006,0.000548219494700853,0.000215008716981341,-3.02784357634944E-006,-1.098765503949E-006,8.40740052083644,3.44456365932918,-2.35104583011915E-005,3.39703134850751E-006,0.283895962038727,0.116176713124424,-2.63864099061918E-005,-3.85616763991284E-006,0.00255213912544964,0.00106405063989075,-2.93803116807387E-005,-8.52966136744609E-006,1.78220304316595E-005,7.25694830953088E-006,-1.33752228262911E-005,-4.58274827474784E-006
5.013,-0.377517626799115,0.925998725815852,-9.83131954548041E-007,-3.98566662765391E-007,0.623694534188353,0.255491259585884,-1.22824729981581E-005,3.7962879791185E-006,0.00635648149421866,0.00255327558696006,2.10048137602587E-006,2.20281497269898E-006,0.000550586933807213,0.000214387257660445,-3.16846732507992E-006,-1.13782282360419E-006,8.42140292345881,3.43806351238588,-2.35644324155639E-005,3.72044462967112E-006,0.284960497117305,0.116187054909669,-2.72725594762548E-005,-3.63230925728148E-006,0.00257786562472486,0.00107241760021556,-3.04584407154616E-005,-8.64412207341785E-006,1.83052591325507E-005,7.42686166041392E-006,-1.37729951465613E-005,-4.65475623551947E-006
5.014,-0.376329673287262,0.92648188780316,-9.92025307498617E-007,-4.00690030451973E-007,0.625833855854595,0.255519574222904,-1.2975987226112E-005,4.15341840548303E-006,0.00641284218895235,0.00256390898664458,2.35851225403127E-006,2.41163585621692E-006,0.000552956246663543,0.000213761082376916,-3.30951874693815E-006,-1.17664119401486E-006,8.43543062846142,3.43153429697886,-2.36188603007985E-005,4.04392608601198E-006,0.286029513004594,0.116196125296233,-2.81597157225833E-005,-3.40686236830494E-006,0.00260370222426903,0.00108076039072569,-3.15381410803256E-005,-8.75699238121966E-006,1.87895764011667E-005,7.59615581489808E-006,-1.41715030098618E-005,-4.72623616558687E-006
5.015,-0.375140166842082,0.926963906699156,-1.00100477178859E-006,-4.02821906642031E-007,0.627981112937935,0.255544640103585,-1.3668878022793E-005,4.51200132468623E-006,0.00646942519181013,0.0025744912652182,2.61673596836603E-006,2.62004665935084E-006,0.000555327437203559,0.000213130178651192,-3.45100063159776E-006,-1.21521950559354E-006,8.44948369620105,3.42497587833147,-2.36737620079022E-005,4.36747729192471E-006,0.287103030984057,0.116203912075712,-2.90478860014873E-005,-3.17982371693228E-006,0.00262964967709303,0.00108907876025606,-3.26194216979633E-005,-8.86826622394977E-006,1.92749909844748E-005,7.7648276386161E-006,-1.45707525741414E-005,-4.79718611074021E-006
5.016,-0.373949105026035,0.927444779281973,-1.0100712439028E-006,-4.04962268156468E-007,0.630136336832874,0.255566431904446,-1.43611387317562E-005,4.87203732096826E-006,0.00652623199913765,0.00258502192418174,2.875147664942E-006,2.82804315630113E-006,0.000557700509513433,0.000212494534024243,-3.5929158827013E-006,-1.25355663408437E-006,8.46356218715754,3.41838812092073,-2.37291578700843E-005,4.69109993199577E-006,0.28818107245565,0.116210402936161,-2.9937077814751E-005,-2.95119005102818E-006,0.00265570874255588,0.00109737245500927,-3.37022916202918E-005,-8.9779375200627E-006,1.97615117442573E-005,7.93287397698744E-006,-1.49707500800205E-005,-4.86760410840621E-006
5.017,-0.372756485391922,0.927924502315748,-1.01922562963223E-006,-4.0711108969609E-007,0.632299559075301,0.255584924117587,-1.505276272915E-005,5.23352695991405E-006,0.00658326411961269,0.00259550045983499,3.13374245213137E-006,3.03562116283084E-006,0.000560075467824998,0.000211854136037507,-3.73526737443828E-006,-1.29165151243633E-006,8.47766616193339,3.41177088847252,-2.37850685235902E-005,5.0147958119055E-006,0.289263658936549,0.116215585461189,-3.08272988050852E-005,-2.72095812675246E-006,0.0026818801864261,0.00110564121851767,-3.47867600438272E-005,-9.08600016310573E-006,2.02491476518295E-005,8.10029165285429E-006,-1.53715018588253E-005,-4.9374881829108E-006
5.018,-0.37156230548284,0.92840307255053,-1.02846884551738E-006,-4.09268345114538E-007,0.634470811343181,0.255600091049238,-1.57437433522635E-005,5.59647075939615E-006,0.00664052307436004,0.00260592636320497,3.39251533197672E-006,3.24277642659627E-006,0.000562452316509606,0.000211208972216764,-3.87805805111003E-006,-1.32950302027269E-006,8.49179568125345,3.40512404395674,-2.38415149064254E-005,5.33856685426805E-006,0.290350812061866,0.116219447129016,-3.17185567606371E-005,-2.4891247012604E-006,0.00270816478094236,0.00111388479161977,-3.58728362983939E-005,-9.19244802975694E-006,2.07379077954239E-005,8.26707746634263E-006,-1.57730143288074E-005,-5.006836349355E-006
5.019,-0.370366562832142,0.928880486722193,-1.03780181762229E-006,-4.1143400698509E-007,0.636650125457246,0.255611906818313,-1.64340739789919E-005,5.9608692061978E-006,0.00669801039705021,0.00261629911997474,3.65146121351427E-006,3.44950465435608E-006,0.000564831060098147,0.000210559030098927,-4.02129087198633E-006,-1.36711003910136E-006,8.50595080596453,3.39844744958247,-2.38985182546051E-005,5.66241510155154E-006,0.291442553585383,0.116221975311548,-3.2610859621281E-005,-2.25568653007637E-006,0.00273456330488062,0.00112210291241937,-3.69605298677336E-005,-9.29727497348656E-006,2.12278013779015E-005,8.43322819352528E-006,-1.61752940002887E-005,-5.07564661179582E-006
5.02,-0.369169254963389,0.929356741552344,-1.04722548287497E-006,-4.13608045413812E-007,0.638837533381694,0.255620345354917,-1.71237479879393E-005,6.32672276270176E-006,0.00675572763405146,0.00262661821043787,3.91057494449014E-006,3.65580157596917E-006,0.000567211703276959,0.000209904297221308,-4.16496889455568E-006,-1.40447143568281E-006,8.52013159703503,3.39174096679304,-2.39561001169207E-005,5.98634272395405E-006,0.292538905380274,0.116223157273416,-3.35042154746189E-005,-2.02064038249278E-006,0.00276107654360806,0.00113029531626045,-3.80498503704532E-005,-9.40047482780692E-006,2.17188377214874E-005,8.59874058971898E-006,-1.65783474748183E-005,-5.14391696273641E-006
5.021,-0.367970379390306,0.92983183374823,-1.05674078880587E-006,-4.15790429851622E-007,0.641033067224888,0.25562538039889,-1.78127587499953E-005,6.69403183674211E-006,0.00681367634449262,0.00263688310942673,4.16985127901191E-006,3.86166288026631E-006,0.000569594250889111,0.000209244761126986,-4.30909516945419E-006,-1.44158612302327E-006,8.53433811555452,3.38500445626104,-2.40142823536998E-005,6.31035201216909E-006,0.293639889439851,0.116222980171029,-3.43986325621256E-005,-1.7839830219998E-006,0.0027877052891572,0.00113846173569074,-3.91408075811178E-005,-9.5020414075596E-006,2.2211026265867E-005,8.76361138410655E-006,-1.69821814469727E-005,-5.21164538305372E-006
5.022,-0.366769933616736,0.930305760002653,-1.06634869296223E-006,-4.17981127908243E-007,0.643236759240053,0.255626985498278,-1.85010996615825E-005,7.06279682069764E-006,0.00687185810045192,0.00264709328623842,4.42928490013081E-006,4.06708425160585E-006,0.000571978707928946,0.000208580409341915,-4.45367280154244E-006,-1.47845293279929E-006,8.54857042273341,3.37823777788346,-2.40730871380373E-005,6.63444539053598E-006,0.2947455278783,0.116221431051599,-3.52941192844592E-005,-1.54571121853526E-006,0.00281445034028404,0.00114660190042786,-4.02334114189757E-005,-9.60196849885191E-006,2.27043765722745E-005,8.92783728302943E-006,-1.73868027024129E-005,-5.27882984236743E-006
5.023,-0.365567915136602,0.930778516993867,-1.07605016414795E-006,-4.2018010523457E-007,0.645448641825983,0.255625134007852,-1.91887641106294E-005,7.43301806173285E-006,0.00693027448702573,0.00265724820458647,4.68887037362505E-006,4.2720612963535E-006,0.000574365079570298,0.000207911229407181,-4.59870493900143E-006,-1.51507076512771E-006,8.5628285799024,3.37144079077657,-2.41325369632239E-005,6.95862541693829E-006,0.295855842931427,0.116218496852173,-3.61906841971414E-005,-1.30582174218628E-006,0.00284131250253488,0.00115471553733044,-4.1327671960915E-005,-9.70024987337421E-006,2.31988983251302E-005,9.0914149689439E-006,-1.7792218128754E-005,-5.34546829808462E-006
5.024,-0.364364321433849,0.931250101385496,-1.08584618237899E-006,-4.22387326589259E-007,0.647668747527755,0.255619799087565,-1.98757455126769E-005,7.80469587909674E-006,0.00698892710247239,0.00266734732251459,4.94860217052535E-006,4.47658966209898E-006,0.000576753371147638,0.000207237208864209,-4.74419481800792E-006,-1.55143847756806E-006,8.57711264851224,3.36461335327091,-2.41926546440132E-005,7.28289477619555E-006,0.296970856957417,0.116214164398643,-3.70883360167674E-005,-1.06431137039876E-006,0.00286829258831206,0.00116280237035658,-4.24235994317383E-005,-9.79687927520646E-006,2.3694601333164E-005,9.25434109861767E-006,-1.81984347044474E-005,-5.41155869561846E-006
5.025,-0.363159149982411,0.931720509826431,-1.09573773732851E-006,-4.24602753784778E-007,0.649897109037428,0.255610953701018,-2.0562037279621E-005,8.17783055296147E-006,0.00704781755831577,0.00267739009236123,5.20847474495167E-006,4.68066497339972E-006,0.000579143588161424,0.000206558335247996,-4.89014567400227E-006,-1.58755491279314E-006,8.5914226901331,3.3577553229062,-2.42534633240972E-005,7.60725629978134E-006,0.298090592437578,0.116208420404753,-3.79870836262036E-005,-8.21176880083651E-007,0.00289539141694343,0.0011708621205375,-4.35212042204473E-005,-9.89185043061571E-006,2.41914955300186E-005,9.41661230417611E-006,-1.8605459511374E-005,-5.47709896816498E-006
5.026,-0.361952398246158,0.932189738950741,-1.10572583172829E-006,-4.26826348154438E-007,0.652133759194775,0.255598570613924,-2.12476328398025E-005,8.55242232085265E-006,0.00710694747952322,0.00268737596063987,5.46848239591482E-006,4.8842827488105E-006,0.000581535736294952,0.000205874596089767,-5.03656080854934E-006,-1.62341894310222E-006,8.60575876645429,3.35086655642623,-2.43149864823754E-005,7.93171295646312E-006,0.299215071977114,0.116201251471091,-3.88869360743534E-005,-5.76415049723239E-007,0.00292260981474069,0.00117889450593157,-4.46204968763839E-005,-9.98515703652334E-006,2.46895909787806E-005,9.57822519294928E-006,-1.90132997271119E-005,-5.5420870360346E-006
5.027,-0.360744063678854,0.932657785377574,-1.11581147787524E-006,-4.29058069036602E-007,0.654378730987987,0.255582622392527,-2.19325256424894E-005,8.92847139499785E-006,0.00716631850454557,0.00269730436801933,5.72861933121678E-006,5.08743862163749E-006,0.000583929821404943,0.000205185978945327,-5.18344356171943E-006,-1.65902940919926E-006,8.62012093928366,3.34394690977367,-2.43772479218629E-005,8.25626785811634E-006,0.300344318305883,0.116192644084082,-3.97879025768045E-005,-3.30022659196291E-007,0.00294994861508217,0.00118689924160504,-4.57214881049166E-005,-1.00767927763144E-005,2.51888978705778E-005,9.73917634339083E-006,-1.94219626348493E-005,-5.60652080731167E-006
5.028,-0.359534143724107,0.933124645711065,-1.12599570049876E-006,-4.31297873222762E-007,0.656632057554405,0.255563081402031,-2.26167091297436E-005,9.30597795014201E-006,0.0072259322855336,0.00270717474923717,5.98887970397956E-006,5.29012810058871E-006,0.000586325849533035,0.000204492471343736,-5.33079732898283E-006,-1.69438515913025E-006,8.63450927054723,3.33699623808488,-2.4440271792114E-005,8.5809242649442E-006,0.301478354279178,0.116182584614957,-4.06899925256783E-005,-8.19964910166206E-008,0.002977408658466,0.00119487603957769,-4.68241887858334E-005,-1.01667513014386E-005,2.56894265292916E-005,9.89946231351813E-006,-1.98314556154247E-005,-5.67039817584972E-006
5.029,-0.358322635815327,0.933590316540237,-1.13627953531429E-006,-4.33545716351649E-007,0.658893772181236,0.255539919805014,-2.33001767851731E-005,9.68494212602358E-006,0.00728579048839561,0.00271698653301752,6.24925753858716E-006,5.4923466800414E-006,0.000588723826897712,0.000203794060833211,-5.47862554467581E-006,-1.72948504272528E-006,8.64892382228866,3.33001439568468,-2.45040825905997E-005,8.90568558481226E-006,0.302617202878497,0.116171059318721,-4.15932154837908E-005,1.67666667357261E-007,0.00300499079259169,0.00120282460880081,-4.79286099570765E-005,-1.02550262432325E-005,2.61911874103983E-005,1.00590796277641E-005,-2.024178615876E-005,-5.73371702415135E-006
5.03,-0.357109537375675,0.934054794438902,-1.14666403016984E-006,-4.35801552035387E-007,0.661163908306295,0.255513109559822,-2.39829220856583E-005,1.00653640121069E-005,0.00734589479297897,0.00272673914200986,6.5097467809805E-006,5.69408988616377E-006,0.000591123759911934,0.000203090734947311,-5.62693173245579E-006,-1.76432787807088E-006,8.66336465666876,3.32300123608105,-2.45687051479059E-005,9.2305553803624E-006,0.303760887212325,0.11615805433311,-4.24975811947276E-005,4.18970031654229E-007,0.00303269587242273,0.0012107446551096,-4.90347628369195E-005,-1.03416112084855E-005,2.66941911063209E-005,1.02180247882891E-005,-2.06529618585044E-005,-5.79647521853987E-006
5.031,-0.355894845818022,0.934518075965565,-1.15715024446322E-006,-4.3806533217397E-007,0.663442499518714,0.255482622418942,-2.46649385271624E-005,1.04472436798966E-005,0.00740624689317339,0.00273643199272065,6.77034126136805E-006,5.89535315685933E-006,0.000593525655181185,0.000202382481233335,-5.77571942175566E-006,-1.79891251290971E-006,8.67783183596494,3.31595661195987,-2.46341646602153E-005,9.55553736992957E-006,0.304909430516923,0.116143555677534,-4.34030995809219E-005,6.71916817445136E-007,0.00306052476025915,0.00121863588119692,-5.01426588097083E-005,-1.04264997772697E-005,2.71984483451422E-005,1.03762942690738E-005,-2.10649904149751E-005,-5.85867061292714E-006
5.032,-0.354678558544895,0.934980157663325,-1.16773924953355E-006,-4.40337006185105E-007,0.665729579559703,0.255448429927374,-2.53462196361117E-005,1.08305811527586E-005,0.0074668484970333,0.0027460644954185,7.03103472614647E-006,6.09613198018504E-006,0.000595929519500843,0.000201669287230647,-5.9249922093841E-006,-1.83323776318152E-006,8.69232542257078,3.3088803751795,-2.47004866733057E-005,9.88063543501044E-006,0.306062856157127,0.116127549252014,-4.43097807514931E-005,9.26510236062817E-007,0.00308847832581457,0.00122649798656463,-5.12523094415305E-005,-1.0509685509088E-005,2.77039699929553E-005,1.05338845139207E-005,-2.14778796396076E-005,-5.92030104739404E-006
5.033,-0.353460672948437,0.935441036059775,-1.17843212916411E-006,-4.42616521752029E-007,0.668025182323272,0.255410503420989,-2.602675894564E-005,1.12153764215075E-005,0.00752770132695509,0.00275563605409026,7.29182086996968E-006,6.2964217741804E-006,0.000598335359877973,0.000200951140488276,-6.07475376539455E-006,-1.86730244650881E-006,8.70684547899541,3.30177237676539,-2.47676970914353E-005,1.02058536131028E-005,0.307221187627137,0.116110020836109,-4.52176349975108E-005,1.18275349778648E-006,0.00311655744628148,0.00123433066749063,-5.23637264712545E-005,-1.05911619349686E-005,2.82107670590459E-005,1.06907919403731E-005,-2.18916374506391E-005,-5.98136434631302E-006
5.034,-0.352241186410354,0.9359007076669,-1.18922997889066E-006,-4.44903824922783E-007,0.670329341856979,0.255368814024867,-2.67065500146295E-005,1.16016294436725E-005,0.00758880711976779,0.00276514606634255,7.55269319655461E-006,6.49621796071271E-006,0.000600743183504982,0.000200228028540474,-6.22500778852606E-006,-1.90110538780777E-006,8.72139206786298,3.29463246690472,-2.48358221900169E-005,1.05311961139307E-005,0.308384448551323,0.116090956087828,-4.61266728052143E-005,1.4406498191452E-006,0.00314476300640881,0.00124213361699243,-5.34769218248369E-005,-1.06709225607364E-005,2.87188506936495E-005,1.0847012934829E-005,-2.2306271882873E-005,-6.04185832198287E-006
5.035,-0.35102009630187,0.936359168980979,-1.20013390737662E-006,-4.47198859010841E-007,0.672642092362673,0.255323332651607,-2.73855864095718E-005,1.19893401204801E-005,0.00765016762688987,0.00277459392332999,7.81364515701982E-006,6.69551590984825E-006,0.000603152997799109,0.000199499938942,-6.37575803998399E-006,-1.934645391262E-006,8.73596525191211,3.28746049494084,-2.49048886046034E-005,1.08566673132461E-005,0.30955266268503,0.116070340542529,-4.70369048498913E-005,1.70020240762772E-006,0.00317309589857274,0.00124990652477776,-5.45919076151696E-005,-1.07489608665589E-005,2.92282321911058E-005,1.10025438587501E-005,-2.2721791082787E-005,-6.10178076662708E-006
5.036,-0.349797399983678,0.936816416482481,-1.2111450350688E-006,-4.49501565671422E-007,0.674963468197244,0.255274029999649,-2.80638617435073E-005,1.23785083471088E-005,0.00771178461446927,0.00278397900968306,8.07467012183053E-006,6.89431100460332E-006,0.000605564810380181,0.000198766859231433,-6.52700833807414E-006,-1.96792125146983E-006,8.75056509399533,3.2802563093678,-2.49749233510958E-005,1.11822717622388E-005,0.31072585391541,0.116048159611819,-4.79483420043522E-005,1.96141447913176E-006,0.00320155702285601,0.00125764907721897,-5.57086961321089E-005,-1.08252703067777E-005,2.97389229936474E-005,1.11573810382775E-005,-2.31382033104917E-005,-6.16112946379529E-006
5.037,-0.348573094805895,0.93727244663596,-1.2222644956852E-006,-4.51811884345895E-007,0.677293503873375,0.255220876551568,-2.87413696218285E-005,1.27691339497765E-005,0.00777365986352608,0.00279330070342301,8.33576129688872E-006,7.0925985852642E-006,0.000607978629081623,0.000198028776955604,-6.67876256966996E-006,-2.00093178150162E-006,8.76519165707845,3.27301975782478,-2.50459538210079E-005,1.15080141913577E-005,0.311904046262217,0.116024398582437,-4.88609953408533E-005,2.22428924515257E-006,0.00323014728712097,0.00126536095729713,-5.68272998704484E-005,-1.08998443065579E-005,3.02509346929991E-005,1.13115207731808E-005,-2.35555169453762E-005,-6.21990217601624E-006
5.038,-0.347347178108011,0.937727255889957,-1.23349343563431E-006,-4.54129751921272E-007,0.679632234060293,0.255163842572345,-2.94181036994934E-005,1.31612167382579E-005,0.00783579517006131,0.00280255837588895,8.59691182976711E-006,7.29037396780216E-006,0.000610394461958805,0.000197285679653253,-6.83102465112019E-006,-2.03367577360411E-006,8.77984500423995,3.26575068709053,-2.51180077904923E-005,1.18338995038127E-005,0.313087263878643,0.115999042615117,-4.97748761351809E-005,2.48882992153296E-006,0.00325886760708661,0.00127304184457817,-5.79477315072991E-005,-1.0972676267487E-005,3.07642790297715E-005,1.14649593316418E-005,-2.3973740484667E-005,-6.27809665156913E-006
